subjectID	 order	 itemIndABC	 runtrial	 isOld?	 subjectAnswer	 onsettime	 Name	 resp_choice	 RT	 bidInd	 isBeep?
BMI_bf_102	 2	 40	 57	 1	 1	 1.068175e+02	 110.TIF	 i	 1.386482e+00	 22	 1
BMI_bf_102	 2	 12	 58	 1	 1	 1.092509e+02	 012.TIF	 i	 7.850175e-01	 59	 0
BMI_bf_102	 2	 36	 59	 1	 1	 1.110841e+02	 106.TIF	 i	 8.236234e-01	 19	 1
BMI_bf_102	 2	 23	 60	 1	 1	 1.129507e+02	 023.TIF	 i	 8.049176e-01	 60	 0
BMI_bf_102	 2	 68	 61	 0	 0	 1.148007e+02	 408.tif	 u	 8.188354e-01	 0	 0
BMI_bf_102	 2	 79	 62	 0	 0	 1.166673e+02	 419.tif	 u	 8.800979e-01	 0	 0
BMI_bf_102	 2	 9	 63	 1	 1	 1.186006e+02	 009.TIF	 i	 8.346517e-01	 9	 1
BMI_bf_102	 2	 30	 64	 1	 0	 1.204839e+02	 030.tif	 u	 1.207274e+00	 34	 0
BMI_bf_102	 2	 52	 65	 1	 0	 1.227338e+02	 122.TIF	 u	 8.212192e-01	 24	 0
BMI_bf_102	 2	 58	 66	 1	 1	 1.246003e+02	 128.TIF	 i	 8.105601e-01	 27	 0
BMI_bf_102	 2	 37	 67	 1	 1	 1.264503e+02	 107.TIF	 i	 1.040414e+00	 29	 0
BMI_bf_102	 2	 10	 68	 1	 1	 1.285336e+02	 010.TIF	 i	 7.649871e-01	 3	 0
BMI_bf_102	 2	 76	 69	 0	 0	 1.303503e+02	 416.tif	 u	 6.522788e-01	 0	 0
BMI_bf_102	 2	 19	 70	 1	 1	 1.320501e+02	 019.tif	 i	 7.362932e-01	 11	 1
BMI_bf_102	 2	 29	 71	 1	 1	 1.338335e+02	 029.TIF	 i	 8.488153e-01	 47	 0
BMI_bf_102	 2	 4	 72	 1	 1	 1.357334e+02	 004.TIF	 i	 8.927592e-01	 33	 0
BMI_bf_102	 2	 17	 73	 1	 1	 1.376667e+02	 017.tif	 i	 7.033703e-01	 54	 1
BMI_bf_102	 2	 77	 74	 0	 0	 1.394167e+02	 417.tif	 u	 7.932630e-01	 0	 0
BMI_bf_102	 2	 51	 75	 1	 1	 1.412499e+02	 121.TIF	 i	 9.198862e-01	 6	 0
BMI_bf_102	 2	 57	 76	 1	 1	 1.432165e+02	 127.tif	 i	 7.451614e-01	 8	 1
BMI_bf_102	 2	 14	 77	 1	 1	 1.450164e+02	 014.TIF	 i	 7.291492e-01	 42	 0
BMI_bf_102	 2	 7	 78	 1	 1	 1.467997e+02	 007.tif	 i	 7.297113e-01	 1	 0
BMI_bf_102	 2	 70	 79	 0	 0	 1.485830e+02	 410.tif	 u	 8.502922e-01	 0	 0
BMI_bf_102	 2	 63	 80	 0	 0	 1.504830e+02	 403.tif	 u	 8.622155e-01	 0	 0
